page,name,link,thumbnail,rating,date,snippet,images,local_guide
1,Firdaus Agil Prasetyo,https://www.google.com/maps/contrib/111423810639753200894?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWYynH8NXJHZVjRP02hX7-xS8E1cZreid20nSAOnwlgqTebzLBTMg=s120-c-rp-mo-ba3-br100,5.0,2 tahun lalu,"Dari luar tampak seperti rumah hantu. Tapi lihatlah ketika anda masuk sini. Semuanya begitu sempurna, tempatnya bagus, ruangannya bagus full AC dimana mana. Perpusnya juga bagus. Dosennya juga ramah ramah komunikatif juga. Pokoknya anda ga bakalan nyesel kalo kuliah disini. Pembelajaran juga interaktif. Dosennya muda muda semua under 35th.","['https://lh5.googleusercontent.com/p/AF1QipNj082DH4HrYR8Azv50QlCh7cj92AJjsTpV_nFS=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipP-pSCe4GOxdAQR_OkZqyhPtWIh3UQ2gTRhknJR=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOZbPe073T9boymfSWqfmseLwlULJ2vLrU6MmaF=w150-h150-k-no-p']",True
1,Miftah NG,https://www.google.com/maps/contrib/112733895378084869744?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXiM3mcILDOlIFs91oc3piZA21ymjJ4eIC7PH36Qdu6i1MuLos=s120-c-rp-mo-ba3-br100,5.0,5 tahun lalu,"Unik. Kampus ""heritage"" pertama yang pernah saya datangi. Area bekas pabrik Semen Gresik yang dipindah ke Tuban. Para mahasiswa & staf ramah². Perpustakaan & fasilitas lainnya mantap. Adem kalau sudah masuk ke gedungnya.
Harus mampir kesini. Instagramable. (Sept. 2019)","['https://lh5.googleusercontent.com/p/AF1QipOwzzBIgPCNoudZD6tuDP9dRY24ho5LyEq6Lx8O=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipO5rzel8qNOkQiFmG_58nMeNt9siZ9D_aCR77Aj=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOd6jiBiMaq_kDBxuY2L51F5ux5OhCvPQ1Y6iWV=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMbSCMnJWad789Dw63z-JMh4MzvpdNVMwv5PARj=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipO_ukV967-FUx6tGwtHHDfhQSICed1PDwUJOvXf=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMdelJAi7vdbvL65T3AfS6lIO7yb_QUWsfwuH79=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMmRRmoy0BA_0h47AgUrYqrw5A5nk0O50udeJaS=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOCbjCMvtR3HSGZtkPi6nxOKLHfMXWPpsDDSmaB=w150-h150-k-no-p']",True
1,Hafiz Nafi'uddin,https://www.google.com/maps/contrib/106993463417369882180?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWTCYyJ06inW2Hd4zF3bWMxOuVYw8pgZh_kPPFzA3Qc7udUPRt0=s120-c-rp-mo-ba3-br100,3.0,setahun lalu,"Universitasnya sangat bagus, tapi lebih diperhatikan untuk yang dikampus 2, jalannya agak licin dan berpasir jadi ditikungan mudah jatuh, 🙏
Terima Kasih untuk dosen² dan Mahasiswa yang sangat membantu dan sangat baik sudah mau membantu seluruh proses belajar sampai selesai, 🙏",,True
1,Chandra Bintang,https://www.google.com/maps/contrib/118060676265476302049?hl=id,https://lh3.googleusercontent.com/a/ACg8ocKeJefGIuYVfSrs_hP8aF7sy2_KQQ0PGpeuOssHWstJhqQM-A=s120-c-rp-mo-ba2-br100,1.0,7 bulan lalu,"Hati-hati dengan dosen gadungan yang bernama ""OKTAVIAN ZULFIKY"" yang mengaku bekerja di UISI dan terbukti telah memalsukan gelar S2 nya.",,True
1,Wandy Bear,https://www.google.com/maps/contrib/100607332718683476014?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVt8x-4tJI9NjDG1sEjP9GmcQVggaZ3LhQw6Am0k6HLHre8ZQE=s120-c-rp-mo-ba2-br100,3.0,setahun lalu,"Sementara 3 bintang dulu ya min.
Min, calon mahasiswa/mahasiswi yang buka dari keluarga karyawan dan bukan lulusan dr sekolah mitra, Apakah bisa untuk daftar/masuk di UISI?",,True
1,Fajar Rifat,https://www.google.com/maps/contrib/107573591074481720502?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJqSWhWoEjHArQ4cjOGXsjpy5z30r991d_obOUoK9Yq9vsudg=s120-c-rp-mo-br100,2.0,setahun lalu,"Jalan masuk untuk motor ke kampus B paving nya banyak yg rusak ngak rata min, mending di jadikan 1 saja jalan masuk untuk motor dan mobil",,
1,Justin Hubner,https://www.google.com/maps/contrib/104049212345262751884?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJMhOXYAr-L3BbRuvbzzLulHO48uKiGNsZlLHbn4-6h0NLZXkU=s120-c-rp-mo-ba3-br100,1.0,2 tahun lalu,"Dapat Orderan Go Ride Atas Nama ""Amelia S"" pada hari selasa 29 November 2022 pukul 14:56 katanya sudah menunggu di pos satpam ternyata masih jam kelas dan saya sudah nunggu hampir 1 jam di pos satpam orderan malah di cancel. Sudah di bantu beberapa mahasiswa dan mahasiswi yg lain untuk di carikan di WA temen"" prodinya tp tidak ada mungkin kebetulan bukan rekan prodinya.",,True
1,MiawLegenD_,https://www.google.com/maps/contrib/101901078491184110936?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVL7MZOjaBO-_ybRKuTXjDK0WeKpjh6Af--V-JHY3v7NgpV-ITC=s120-c-rp-mo-br100,1.0,5 bulan lalu,"Kekurangan yang ada :
1. Parkiran
Ga ada parkirannya, ga ada atapnya jadi bikin ban motor sering kempes, kalo hujan helmnya jadi basah, ga ngerti lagi sama parkirannya...
2. Tangga
Akses menuju gedung 4 tangganya sangat curam dan tidak aman apalagi waktu setelah hujan licin tolong diperbaikin
3. AC
Ac dibeberapa kelas terutama di gedung 3 banyak yg tidak berfungsi dengan baik, ac nya sangat berisik dan menganggu kelas, tidak bisa diatur suhu nya kadang sangat dingin tidak bisa diturunkan suhu nya jadi menganggu kelas, jika tidak pakai AC sangat panas apalagi ini gresik. Akses menuju gedung 3,4,5 kampus A tidak ada parkiran jadi harus parkir di depan dekat kantin maka membutuhkan energi ekstra untuk menuju kelas sampai dikelas malah AC nya bermasalah😊
4. Kantin dan mushollah
Untuk kampus A lagi, untuk kantin nya bagi petugas kebersihan kampus harap dibersihkan karena menurut saya cukup kotor bagi tempat makan dan istirahat,
Kantinya di siang hari sangat panas mungkin karena atapnya yang besi, Kemudian untuk musholla, mungkin bisa direnovasi agar lebih bisa disebut mushollah karena ini tempat ibadah. Lalu pada meja kantin terdapat beberapa stopkontak yang tidak berfungsi dan besinya sudah berkarat dan mushala tempat wudhu perempuan kalau sudah maghrib tidak ada lampunya sehingga gelap dan terpaksa menggunakan flash HP.

Sangat tolong UKT tidak murah dan saya berharap mendapatkan fasilitas yang layak seperti kampus yang lain ☺️

Edit ulasan : GA ADA SAMA SEKALII PERUBAHAN!! CUMAN DIKASIH LAMPU DOANG DIMUSHOLA ! PLIS LAH PARKIRAN, GA ADA PARKIRANNYA.",,True
2,thandmustedi Pur,https://www.google.com/maps/contrib/103335838612241809335?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUcWuP1btFgNnrq1Bd8TmKTzDqdmXWpS-ZOlnc2xxsmFfMiFBHm=s120-c-rp-mo-ba2-br100,1.0,4 tahun lalu,"1. Syarat pendaftaran kurang terperinci dan sistematis
2. Kurikulum perlu diinformasikan dg suatu harapan calon mahasiswa yg ingin mendaftar tahu, apa yg akan diberikan pihak kampus terhadap mahasiswa. (Mahasiswa mau didesaian menjadi lulusan seperti apa)
3. Karena ujungnya kuliah setelah lulus itu kerja, maka  jaminan apa yg bisa diberikan kampus terhadap kelulusannya. (Kl hanya sekedar meluluskan tanpa memberikan solusi/peluang kerja, tdk ada bedanya dg kebanyakan kampus yg hanya meluluskan pada akhirnya masih dipusingkan dg mencari kerja...)
4. Keunggulan-keunggulan apa yg bisa diberikan kampus terhadap mahasiswanya?
5. Maaf, bisa belajar dr PT lain bagaimana cara menginformasikan lebih lugas.
Sebenarnya masih banyak yg ingin saya sampaikan tapi untuk sementara cukup 5 hal itu, yg saya anggap masih perlu ditingkatkan.
Demikian yg bisa saya informasikan, mudah-mudah dapat dijadikan masukan.
Bravo Edi Purwanta moxer",,True
2,Nurtoha Mr,https://www.google.com/maps/contrib/112604912242796855771?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUcYp3DANZI29qGZ1fV4tsxQQpHG4xQT1ZnG4rgj8VzGwioYYU0=s120-c-rp-mo-ba4-br100,4.0,4 tahun lalu,"Lokasinya cukup Sejuk, asri dan bersih, banyak pohon2 yg rindang, Tempat parkir juga luas, ada Musholla, warung2 makan..
Pokoknya asik utk Belajar",,True
