page,name,link,thumbnail,rating,date,snippet,images,local_guide
1,Te Ir,https://www.google.com/maps/contrib/113276806223862688918?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUpaayv96bjhUnq4n4vWDwwOGkDKFDCODZ6OtT_Lee-xxUwebI=s120-c-rp-mo-ba8-br100,4.0,sebulan lalu,"Universitas yang menjadi bagian Pertamina (persero) dan didukung tenaga pengajar langsung dari praktisi di Pertamina grup.
Kantinnya nyaman dengan menerapkan CLSR dan safety yang ketat.
Kampus serasa kantor dengan fasilitas olahraga yang mumpuni👍","['https://lh5.googleusercontent.com/p/AF1QipOA2T6Xp4CUK7YtFdJmcQfXVlAy9k24BuGCbiHd=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipN6GFDC4Ta9uM3A4lZWAevD_8YGbjihBZ1IKFhG=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPWh9f8cVbj3ehjqFKVB884-7zPJvwcmLp8Ve_j=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMEJ61qmz5Pp1_a_gWoY8t4T7XI3vmI1yUL11wS=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOmacZ8pUJ1sYi0zRl5XydSclHbqBoWjgiTWvF3=w150-h150-k-no-p']",True
1,RHDN,https://www.google.com/maps/contrib/115515439003515796325?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWqGzmDrpt1IJvhBqPQSiuOR3EX-sP6hXi5VUdNeragY4Boa_uPkw=s120-c-rp-mo-ba5-br100,4.0,7 bulan lalu,"Kampus nya cukup besar, lokasi pinggir jalan simprug dan byk fasilitas nya
Dari parkir cukup luas lalu ada kantin 2 lantai yg ok bgt, menu byk pilihan nya, enak"" lagi
ada kolam renang,  GOR dan yg pasti ada mushola dan masjid
Ada residence jg yg bisa di sewa utk umum dan terakhir, di area paling depan jg di sewakan utk acara pernikahan","['https://lh5.googleusercontent.com/p/AF1QipPuoJOgGiDuUkjrysR09agXNFpXmlL_hsxCNJ-L=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipM4exlzZ7s7yGwL06yZcXlN5d86j_iAzpKdARDR=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPlX8Hvwwn9UOj6wYphCi7YGp0utibYPyonm4dS=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPz3P5X5RPmexhB4zYpzPtf82EI4HR9_2TLUAQD=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOHbLolLzgHeTpzlB7kUjt8PKmpYC9j5L5wSHiq=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOownXTE6BvczTdS-BpXUeaEUiXk_3nrSyWaNMM=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPsJlB25MY3IHPWJoNQBfkfBgi1HntpTht5PrOT=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMWfHTugdQ0DY93xQcOZS-nAatmqOtZS1e6IAjW=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipN4-pK1qzmRU0_PgfNlOM7OHAKyEOg4S4uJjjyR=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipM4PEiZth2j0imV58d33XVtN63dwxMNv_0dXpYF=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOAuk9u4nKNsClLOMGwPFa-LRAqMW-b2FVZWJeU=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipP-vFPsxVDKPSyHFEiyvlEv-3cIbP9ZIECneaB6=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMQ-XSyDO03Da1KQyFeohJS-uXYdh_GeUTmglRu=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipO5e1kQL-itInu25xxjbFgQrMSlzY4_aAhGigSO=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPL7e8UHgnzftYkoDIaKljB3piRXxMkOPvd-_RH=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNZdSnjJCOo5jjWkCSWxOnpLIXaNTYTaQo1UyKR=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNbxTImtVqXETOQYBr9zUIMdbObSQhR3F-_C73f=w150-h150-k-no-p']",True
1,Mega Safitri,https://www.google.com/maps/contrib/103978249536799685756?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJH8hp2IjrgQ3MKIU1sOqlK-ddLlYIQgXZ8OqA67m5VX1jc4g=s120-c-rp-mo-br100,3.0,sebulan lalu,"Kami pilih kampus ini dg harapan setelah lulus bs tersalurkan di pertamina/sejenisnya.
Alhamdulillah wal masuk sosialisasinya alumni akan disalurkan.baik di pertamina atopun anak perusahaan.
Qodarullah dr lulus th 2021 anak sy ternyt harus cari kerja sendiri n tdk ada penyaluran.
Apakah ada bantuan/referensi dr kampus untuk para alumni agar mendapatkan pekerjaan yg sesuai dg.prodi yg dipilih di kampus ini?
Trimakasih.",,
1,Muhammad Zidane A,https://www.google.com/maps/contrib/116670870750292523901?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWL40XuggvSAYZirmeIVq5tlFEJ9XAURcSb2DvEGvp0zzB1xsfo_Q=s120-c-rp-mo-ba2-br100,5.0,7 bulan lalu,"walaupun terbilang masih baru, tetapi kampus ini sudah mendapat akreditasi unggul, dan masuk peringkat kampus swasta terbaik di jakarta. Lingkungannya sangat nyaman, banyak kursi di selasar jadi klo capek tinggal duduk, musholla nya juga banyak, di gor ABC ada 1, di gedung griya legita ada di setiap lantainya (lantai 6 dan 8 untuk laki-laki, lantai 5 dan 7 untuk perempuan), di lantai 1 ada cafe thumbs up, lantai 9 ada perpustakaan.","['https://lh5.googleusercontent.com/p/AF1QipPIRxQP6ze4rH6u5AgV6rWn7G4Vqd6_jNkEmmDx=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOSBYfY0usvQqMyVIRKfj38xPgy6ScgZ-AToutu=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNrx2QvnnFp_7C5QQNEdmvrrfRi-8JapKKxaZ7Q=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOAUdu5S5TpOzC7MI8TJaeIB1Tp5asvhx2QqWOW=w150-h150-k-no-p']",True
1,Fahmi Amhar,https://www.google.com/maps/contrib/112298533904187919075?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUOgE54ZiU1xk8cptPH2Ohe1RRrSgphinMY9LMJHJ0b4s0No97P=s120-c-rp-mo-ba5-br100,4.0,6 tahun lalu,"Campus ini memiliki sarana yang cukup lengkap, dan kalau dikelola dengan baik tentu akan menghasilkan mahasiswa yang berprestasi.  Namun memang masih ada yang harus ditingkatkan di sana sini, seperti mushola yang mestinya ada di tiap gedung, sehingga untuk sholat bagi tamu tidak harus keluar gedung yang cukup jauh.","['https://lh5.googleusercontent.com/p/AF1QipNrTLuqZlq5S2uwENqG7Y4NYTMYaQQKz3iQbySK=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMRd0luLyCsSKxg3DO1e3jgvjMmH_eAkH_SkLRz=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNbZHkSCUnccWANotchtJAv73jm5F1cNaJRpIdR=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNebTh9vNN9OCJUXSqBhI5LOSRssShPuOt5jAiA=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOAFS5JiXMsLxA4gkay7wkQR30lPoroJdMxH8hH=w150-h150-k-no-p']",True
1,ares rahmawan,https://www.google.com/maps/contrib/115378988855339441478?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUF4Tl0J1_tVazdUSkMt7pyLPyEQAvVQIoPgMJwX8G-DgoC5UvrOw=s120-c-rp-mo-ba5-br100,5.0,8 bulan lalu,"Tiket nya 75 ribu utk Olympic Size Pool. Clean water, Wash room. Tempat sampah : kurang banyak/tersebar/terlihat. Smoga bisa terus terjaga kualitas & kebersihannya.",,True
1,Frenda Fawzia,https://www.google.com/maps/contrib/108513489381717872743?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjW2UWA14AgdBYKjW4S3t0VGaA4gbG7aLSqQ1NOVpNEx_R8QVEp1yg=s120-c-rp-mo-ba7-br100,5.0,6 tahun lalu,Dulu terkenalnya dengan nama Pertamina Training Centre namun sejak 2016 berubah menjadi universitas dan utk umum.,"['https://lh5.googleusercontent.com/p/AF1QipPpe2MAHDLNFAJVNwlA84AMQ7s9h2cB7GYoBfFF=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMrR4RFD5XbotgXiXlyc26Ku94mTHPJVOMn2ZKq=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOpGyI80m6hWSQJUKBB_5tPz01q39cWAlbrZ69z=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPr1a3dioloEdpRbpUsBbuHIiM1SRx-bpl7qSnX=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMTKPT7Cyp9W2RAHtAUGRyPDod0M8Ou8PEsWgcd=w150-h150-k-no-p']",True
1,Nanda,https://www.google.com/maps/contrib/102768022409520373138?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVymMuACKZKbl86LsLVQkP-wTY2RajG5wp68-MjxlG4JybPD7yiAA=s120-c-rp-mo-ba4-br100,5.0,2 tahun lalu,"Kampus yang bagus, fasilitas 90% lengkap, dekat dengan jalan raya, dengan tampilan warna baru, memebrikan smangat baru","['https://lh5.googleusercontent.com/p/AF1QipMrMDcGFzZZ0sHvrPxBGSJN_R4FSeM970XGpnvb=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMZBaZQg1wafnfqLU71d_s7wJFYwCI9jZouoYez=w150-h150-k-no-p']",True
2,Reginaldi,https://www.google.com/maps/contrib/117362223093879680990?hl=id,https://lh3.googleusercontent.com/a/ACg8ocKcHyDlo0IInhrJGgURskIWSPAt8J9BIh3_OTelJtKls7UTBQ=s120-c-rp-mo-br100,5.0,5 bulan lalu,"baguss universitasnyaa ,salam buat angel anak teknik darii Jawa Barat",,True
2,Caesar,https://www.google.com/maps/contrib/105686884137819119340?hl=id,https://lh3.googleusercontent.com/a/ACg8ocKyyxlIP4qGfHwGyV-bVTf7sHqofONPGbWYKGKYmhy0Buf84n0=s120-c-rp-mo-br100,5.0,2 tahun lalu,Area Kampus Sangat Ramah Lingkungan. nuansa asri dengan taman dan banyaknya pepohonan. suasana belajar kondusif dan tenang. Maju Terus Universitas Pertamina,['https://lh5.googleusercontent.com/p/AF1QipPbIt5lFwuocFFcfpELzCdPw7sz662qkgl2aj_l=w150-h150-k-no-p'],True
